"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@rachaelbnewman Hi, we love this video! Can we use it? Reply to let us know that you agree to our terms at… https://t.co/jQTOE6mJLF",FALSE,0,"rachaelbnewman",2020-02-26 02:51:30,TRUE,"1230468941228789761","1232498393475235843","754208839","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","amazon",0,FALSE,FALSE,NA,NA
"2","@WAVY_News Hi, we love this video! Can we use it? Reply to let us know that you agree to our terms at… https://t.co/CS9soSiqJc",FALSE,1,"WAVY_News",2020-02-26 02:51:30,TRUE,"1230480107518779397","1232498393307471872","16259594","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","amazon",0,FALSE,FALSE,NA,NA
"3","<U+0001F440><U+0001F440><U+0001F440> https://t.co/ou8oW5kOV9",FALSE,125,NA,2020-02-26 01:19:43,FALSE,NA,"1232475296563023872",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","amazon",11,FALSE,FALSE,NA,NA
"4","@thumbelulu Wow...obsessed. Can't wait to see more <U+0001F609>",FALSE,13,"thumbelulu",2020-02-26 01:19:11,FALSE,"1232467331625799680","1232475161787392001","14912485","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","amazon",1,FALSE,FALSE,NA,NA
"5","It's #MardiGras so here's some confetti on us! <U+0001F38A><U+0001F389><U+0001F38A><U+0001F389><U+0001F38A><U+0001F38A>",FALSE,111,NA,2020-02-25 19:48:38,FALSE,NA,"1232391975988420608",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","amazon",11,FALSE,FALSE,NA,NA
"6","@KendallDeesOnIt *dancing with joy* https://t.co/3tBeqyL26v",FALSE,5,"KendallDeesOnIt",2020-02-25 19:13:14,FALSE,"1232095260517400576","1232383065508368384","18992890","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","amazon",0,FALSE,FALSE,NA,NA
"7","@jacobmendez We're glad you're enjoying Same-Day Delivery, Jacob! <U+0001F600>",FALSE,5,"jacobmendez",2020-02-24 21:13:27,FALSE,"1231952450313166853","1232050931308601345","950536846177644545","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","amazon",0,FALSE,FALSE,NA,NA
"8","@Cef4103 We're glad to hear you're enjoying the service!",FALSE,6,"Cef4103",2020-02-24 01:30:29,FALSE,"1231419662833004544","1231753227944767488","3366854897","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","amazon",0,FALSE,FALSE,NA,NA
"9","@tamjs_ How exciting! We hope they love it!",FALSE,3,"tamjs_",2020-02-24 01:27:28,FALSE,"1231744590241239040","1231752469790838784","46659954","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","amazon",0,FALSE,FALSE,NA,NA
"10","Truth. Our 'Saved for Later' list: <U+0001F951> <U+0001F951> and more <U+0001F951> https://t.co/CxNB14LjLa",FALSE,90,NA,2020-02-22 18:15:00,FALSE,NA,"1231281248028577792",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","amazon",14,FALSE,FALSE,NA,NA
"11","@niko_del_rey <U+0001F366><U+0001F4E6> = <U+2764><U+FE0F>",FALSE,13,"niko_del_rey",2020-02-21 23:59:57,FALSE,"1231002256557760512","1231005669194530816","17863596","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","amazon",1,FALSE,FALSE,NA,NA
"12","@ladygaga <U+0001F60D><U+0001F525><U+0001F525>",FALSE,28,"ladygaga",2020-02-21 22:13:59,FALSE,"1230963590242304000","1230979004858920960","14230524","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","amazon",2,FALSE,FALSE,NA,NA
"13","Meet some more of our canine office mates here <U+2764><U+FE0F><U+0001F436> #LoveYourPet

https://t.co/Fh5L1r3OIt",FALSE,45,"amazon",2020-02-20 19:13:41,FALSE,"1230571238386368512","1230571239330070528","20793816","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","amazon",14,FALSE,FALSE,NA,NA
"14","We miss Rufus dearly. We remember him with photos around campus and a building named in his honor. Thanks to him, b… https://t.co/OmjWV6rI8y",FALSE,44,"amazon",2020-02-20 19:13:40,TRUE,"1230571235932696576","1230571238386368512","20793816","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","amazon",6,FALSE,FALSE,NA,NA
"15","Rufus even ""launched"" some of our earliest pages using his paw - with the help of some employees, of course. He was… https://t.co/NckHLFkM55",FALSE,30,"amazon",2020-02-20 19:13:40,TRUE,"1230571233449668609","1230571235932696576","20793816","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","amazon",9,FALSE,FALSE,NA,NA
"16","In our early days, a husband and wife duo brought their Welsh corgi, Rufus, to work and he quickly became a part of… https://t.co/PdGlcKcjBq",FALSE,30,"amazon",2020-02-20 19:13:39,TRUE,"1230571232145227777","1230571233449668609","20793816","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","amazon",10,FALSE,FALSE,NA,NA
"17","Fun Fact: Amazon has over 7,000 dogs that come to ""work"" every day! Not that we need a reason to pet dogs daily, bu… https://t.co/vpBeHyszTW",FALSE,211,NA,2020-02-20 19:13:39,TRUE,NA,"1230571232145227777",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","amazon",34,FALSE,FALSE,NA,NA
"18","Just...one...more...review...<U+0001F634> https://t.co/oo1M5if5Pg",FALSE,125,NA,2020-02-20 16:30:00,FALSE,NA,"1230530048572248065",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","amazon",11,FALSE,FALSE,NA,NA
"19","@valeriediazxo We appreciate you stopping by to show us some love. Thank you for the shout-out! <U+0001F60A>",FALSE,4,"valeriediazxo",2020-02-20 03:35:47,FALSE,"1230316613980700673","1230335210815983616","186907090","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","amazon",0,FALSE,FALSE,NA,NA
"20","@EMajec Mm, that sounds yummy! We're glad we could come through with  Same-Day Delivery for you. Enjoy! <U+2615> <U+0001F375> <U+0001F60D>",FALSE,4,"EMajec",2020-02-19 15:09:26,FALSE,"1230129360092327936","1230147385990447104","403848131","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","amazon",1,FALSE,FALSE,NA,NA
"21","Dreaming about your Wish List is normal right? (Obvi asking for a friend.) <U+0001F609>",FALSE,172,NA,2020-02-18 20:21:00,FALSE,NA,"1229863405508538369",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","amazon",21,FALSE,FALSE,NA,NA
"22","@jenonajetplane We're happy we were able to be a part of your happiest mail day, Jen! We love delivering smiles! <U+0001F600> <U+0001F4E6>",FALSE,6,"jenonajetplane",2020-02-18 19:04:35,FALSE,"1229835480415555584","1229844175807447041","2571264116","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","amazon",2,FALSE,FALSE,NA,NA
"23","@neilhamshaw Thanks for the shout out, Neil! We're glad we were able to provide you with a pleasant experience! <U+0001F600><U+0001F4E6>",FALSE,5,"neilhamshaw",2020-02-15 20:14:32,FALSE,"1228690347330547718","1228774613926236161","44478476","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","amazon",1,FALSE,FALSE,NA,NA
"24","@PrimeVideo Here's a snack. https://t.co/2F1NSDBEOa",FALSE,1001,"PrimeVideo",2020-02-14 21:15:28,FALSE,"1228394728078462976","1228427560788340736","17220817","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","amazon",162,FALSE,FALSE,NA,NA
"25","Roses are red, this much is true
Today, we’re celebrating you! <U+2764><U+FE0F> 
Single or taken it doesn’t matter 
You make our… https://t.co/L3CMJtAEWB",FALSE,214,NA,2020-02-14 19:30:04,TRUE,NA,"1228401035317825537",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","amazon",29,FALSE,FALSE,NA,NA
"26","@alexa99 @ColtonLHaynes <U+0001F917><U+0001F4FA><U+0001F3F9>",FALSE,12,"alexa99",2020-02-14 19:09:43,FALSE,"1228381026889740288","1228395914663825411","2905440476","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","amazon",1,FALSE,FALSE,NA,NA
"27","@madameanthro We love your tweet! Mind if we use it? For more info, https://t.co/gILEtoeDmc . If it sounds good, reply with #YouBet !",FALSE,3,"madameanthro",2020-02-14 18:48:44,FALSE,"1215730637447094272","1228390635679281152","765187638","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","amazon",0,FALSE,FALSE,NA,NA
"28","@MarialeLock1999 @alexa99 <U+2764><U+FE0F><U+0001F60A>",FALSE,2,"MarialeLock1999",2020-02-13 16:16:41,FALSE,"1227983516664643584","1227989984583409664","2469201601","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","amazon",0,FALSE,FALSE,NA,NA
"29","@tinkfly88 @alexa99 Happy Galentines Day to you too! <U+2764><U+FE0F>",FALSE,2,"tinkfly88",2020-02-13 16:16:15,FALSE,"1227981324956393472","1227989873694363648","23759833","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","amazon",0,FALSE,FALSE,NA,NA
"30","Happy #GalentinesDay to our bestie @alexa99 <U+0001F499>",FALSE,296,NA,2020-02-13 15:41:00,FALSE,NA,"1227981002435420160",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","amazon",40,FALSE,FALSE,NA,NA
"31","Sometimes you just need Prime &amp; commitment <U+0001F499> https://t.co/obqYikS4n4",FALSE,128,NA,2020-02-12 21:48:15,FALSE,NA,"1227711034322014209",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","amazon",9,FALSE,FALSE,NA,NA
"32","Just in time for #ValentinesDay, our delivery robot Scout made a special delivery on @TheEllenShow – her new BE KIN… https://t.co/WPuSPAC29g",FALSE,111,NA,2020-02-12 18:18:00,TRUE,NA,"1227658125135818752",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","amazon",27,FALSE,FALSE,NA,NA
"33","@tini_dr_418 We're happy to help Ariel be a part of your world! <U+0001F41F> <U+0001F420> <U+0001F980>",FALSE,4,"tini_dr_418",2020-02-11 21:03:29,FALSE,"1227328186515632128","1227337383424688129","26016767","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","amazon",1,FALSE,FALSE,NA,NA
"34","Our incredible employees deliver magical experiences for customers. And some find more than a job - they found love… https://t.co/12MD8mnmOX",FALSE,252,NA,2020-02-11 20:37:34,TRUE,NA,"1227330858710900737",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","amazon",48,FALSE,FALSE,NA,NA
"35","@VodkaAndCheeze We love your tweet! Mind if we use it? For more info, https://t.co/gILEtoeDmc . If it sounds good, reply with #YouBet !",FALSE,2,"VodkaAndCheeze",2020-02-11 18:09:20,FALSE,"1225107623025967106","1227293555338559488","1224118290328510472","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","amazon",0,FALSE,FALSE,NA,NA
"36","What I want     |  What I need
—————————————
My recently     |   Soap
viewed items",FALSE,282,NA,2020-02-08 18:13:01,FALSE,NA,"1226207318162829313",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","amazon",47,FALSE,FALSE,NA,NA
"37","@DrShanaHenry That entrance was <U+0001F525><U+0001F525><U+0001F525>!",FALSE,4,"DrShanaHenry",2020-02-07 19:15:00,FALSE,"1225836281516548096","1225860529551486981","2397262477","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","amazon",1,FALSE,FALSE,NA,NA
"38","@realUNOgame You are such a wild card!<U+0001F602><U+0001F44F> love it!",FALSE,7,"realUNOgame",2020-02-07 19:03:37,FALSE,"1225791240022589441","1225857666762731520","2614048026","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","amazon",0,FALSE,FALSE,NA,NA
"39","Squad goals. <U+0001F499> #NameaMoreIconicDuo https://t.co/M4m3nm5u21",FALSE,177,NA,2020-02-06 22:44:38,FALSE,NA,"1225550897876471813",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","amazon",33,FALSE,FALSE,NA,NA
"40","@Sweetclarissa_ <U+2764><U+FE0F> AWWW! We're very fond of you too, Clarissa! <U+2764><U+FE0F>",FALSE,10,"Sweetclarissa_",2020-02-06 04:06:00,FALSE,"1225263520834629632","1225269384328962048","2939632479","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","amazon",2,FALSE,FALSE,NA,NA
"41","A mood we can get behind <U+0001F60D> https://t.co/NftfKKPtlH",FALSE,325,NA,2020-02-05 01:35:00,FALSE,NA,"1224868996056481792",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","amazon",33,FALSE,FALSE,NA,NA
"42","@shutupmeg_c Box is life! <U+0001F400><U+0001F400> <U+0001F4E6> <U+0001F60D>",FALSE,2,"shutupmeg_c",2020-02-04 19:57:02,FALSE,"1224780313445961728","1224783943150592001","738643670195417089","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","amazon",1,FALSE,FALSE,NA,NA
"43","@grannysue1996 Glad to see you're enjoying your prize, Sue! We hope this helps you keep warm! <U+2744><U+FE0F><U+0001F60D>",FALSE,2,"grannysue1996",2020-02-04 19:27:27,FALSE,"1224770881500647424","1224776499934441473","82953547","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","amazon",0,FALSE,FALSE,NA,NA
"44","RT if bundled up at home streaming your favorite show and enjoying your favorite snack is where you want to be right now. #TuesdayThoughts",FALSE,95,NA,2020-02-04 18:30:00,FALSE,NA,"1224762041661116416",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","amazon",41,FALSE,FALSE,NA,NA
"45","@jorgeaxs95 Awe shucks! <U+0001F60D> <U+0001F60D> <U+0001F60D> We don't know where we'd be without great customers like you!",FALSE,5,"jorgeaxs95",2020-02-04 04:03:00,FALSE,"1224532883823562752","1224543853597937664","1205972264","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","amazon",1,FALSE,FALSE,NA,NA
"46","@_EhhhSTFU Thanks for sharing your experience! Have a wonderful evening! <U+0001F60A>",FALSE,2,"_EhhhSTFU",2020-02-04 00:16:32,FALSE,"1224481266378080258","1224486860413599745","174493189","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","amazon",0,FALSE,FALSE,NA,NA
"47","Alexa, play @TheEllenShow's favorite song.

No, really, ask her <U+0001F609> #BeforeAlexa https://t.co/wbmFfO37jK",FALSE,244,NA,2020-02-03 02:30:02,FALSE,NA,"1224158070995111939",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","amazon",37,FALSE,FALSE,NA,NA
"48","@RyanCummingsTV Here's an instant replay for your viewing pleasure https://t.co/hHKu6Qi95y",FALSE,9,"RyanCummingsTV",2020-02-03 02:15:10,FALSE,"1224151019740958720","1224154328186806273","1070108744","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","amazon",3,FALSE,FALSE,NA,NA
"49","@Ginaschreck @TheEllenShow Okay. https://t.co/PiMbqYAr2X",FALSE,3,"Ginaschreck",2020-02-03 02:11:38,FALSE,"1224151384766857217","1224153442223964160","14621112","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","amazon",0,FALSE,FALSE,NA,NA
"50","#BeforeAlexa sometimes we just had to be alone with our thoughts…",FALSE,121,"amazon",2020-02-03 02:10:06,FALSE,"1224152413134671872","1224153053244186624","20793816","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","amazon",14,FALSE,FALSE,NA,NA
"51","#BeforeAlexa we had to go outside to see what the weather was like. Just like the pioneers.",FALSE,193,"amazon",2020-02-03 02:07:33,FALSE,"1224151954059755521","1224152413134671872","20793816","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","amazon",34,FALSE,FALSE,NA,NA
"52","#BeforeAlexa we had to look up a word in the dictionary if we didn’t know what it meant. And that dictionary was heavy!",FALSE,319,NA,2020-02-03 02:05:44,FALSE,NA,"1224151954059755521",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","amazon",36,FALSE,FALSE,NA,NA
"53","@erodrigues24 Instant replay #BeforeAlexa https://t.co/UqtUwGWvbh",FALSE,4,"erodrigues24",2020-02-03 02:05:39,FALSE,"1224151301958725634","1224151935495753728","1351662288","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","amazon",1,FALSE,FALSE,NA,NA
"54","The real team we're rooting for is all the Alexine's, Alicia's, and Alessa's out there. #BeforeAlexa",FALSE,214,NA,2020-02-03 02:01:33,FALSE,NA,"1224150901260259328",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","amazon",34,FALSE,FALSE,NA,NA
"55","@astral__shadows @TheEllenShow No, you're perfect. https://t.co/GA9jcsxgtW",FALSE,4,"arcade_shadows",2020-02-03 01:56:53,FALSE,"1224147043934928898","1224149729061163008","52612373","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","amazon",0,FALSE,FALSE,NA,NA
"56","@RULLUR We saw that, too<U+0001F609>",FALSE,7,"RULLUR",2020-02-03 01:49:01,FALSE,"1224140347804127232","1224147747013455872","43040923","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","amazon",0,FALSE,FALSE,NA,NA
"57","Alexa, play my “Can J.Lo and Shakira adopt me?” playlist.",FALSE,967,NA,2020-02-03 01:24:00,FALSE,NA,"1224141452084727810",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","amazon",255,FALSE,FALSE,NA,NA
"58","Our hips are ready <U+0001F483> https://t.co/PusOLqxcc3",FALSE,228,NA,2020-02-03 01:11:06,FALSE,NA,"1224138207647891456",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","amazon",33,FALSE,FALSE,NA,NA
"59","Rollin' up to the snack table like

#BeforeAlexa https://t.co/qLkgJ6tL82",FALSE,104,NA,2020-02-03 00:46:57,FALSE,NA,"1224132128159473665",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","amazon",33,FALSE,FALSE,NA,NA
"60","@itsmebeazy Alexa, who is Jenny from the block?",FALSE,5,"itsmebeazy",2020-02-03 00:37:13,FALSE,"1224126668819726336","1224129681558925312","170880806","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","amazon",1,FALSE,FALSE,NA,NA
"61","@PaulaFeese @jax6605 @cashjew22 @Jeep <U+0001F495><U+0001F495><U+0001F495>",FALSE,1,"PaulaFeese",2020-02-03 00:23:07,FALSE,"1224124282432823296","1224126130594050048","286013431","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","amazon",0,FALSE,FALSE,NA,NA
"62","@jen5smith5 @alexa99 We love you, too <U+0001F917> https://t.co/pFQmM3OPae",FALSE,2,"jen5smith5",2020-02-02 23:57:18,FALSE,"1224107429903900672","1224119634061713411","50942528","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","amazon",0,FALSE,FALSE,NA,NA
"63","@TheEllenShow What did we do before Ellen and Portia? <U+0001F970>",FALSE,58,"TheEllenShow",2020-02-02 23:30:00,FALSE,"1224090226676494336","1224112762894331906","15846407","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","amazon",2,FALSE,FALSE,NA,NA
"64","@maiizell We love your tweet! Mind if we use it? For more info, https://t.co/gILEtoeDmc . If it sounds good, reply with #YouBet !",FALSE,0,"maiizell",2020-02-01 03:07:49,FALSE,"1220481620920143879","1223442802341605376","1108211440127750144","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","amazon",0,FALSE,FALSE,NA,NA
"65","@malcolmluck We love your tweet! Mind if we use it? For more info, https://t.co/gILEtoeDmc . If it sounds good, reply with #YouBet !",FALSE,5,"malcolmluck",2020-02-01 03:06:11,FALSE,"1222141305511391232","1223442392142864384","403738055","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","amazon",2,FALSE,FALSE,NA,NA
"66","@graceventura127 @JeffBezos We love your tweet! Mind if we use it? For more info, https://t.co/gILEtoeDmc . If it s… https://t.co/IL696aW983",FALSE,1,"graceventura127",2020-02-01 03:03:40,TRUE,"1220365308067819520","1223441758094102528","850058250091462657","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","amazon",0,FALSE,FALSE,NA,NA
