"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @BrijalP32329337: Dear @_sachinbansal
Lik u, der r mny mens who r accused of #FakeCases lik 498a,DV,Crpc125,377,etc
Women demands huge a…",FALSE,0,NA,2020-03-08 01:55:57,FALSE,NA,"1236470681098792960",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","gaikwadsr123",73,TRUE,FALSE,NA,NA
"RT @realmemobiles: Enjoy #6CamerasProDisplay like @BeingSalmanKhan with #realme6Pro starting at <U+20B9>16,999.
-Dual In-display Selfie
-SDM 720G…",FALSE,0,NA,2020-03-08 01:55:40,FALSE,NA,"1236470610227847173",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Dede66272503",248,TRUE,FALSE,NA,NA
"RT @SoomitaKar: Why don’t #zomato and #deliveroo start delivering #498A to Indian households ? Ordering a #498A is actually a lot easier an…",FALSE,0,NA,2020-03-08 01:55:21,FALSE,NA,"1236470530959527936",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","vikas87_singh",7,TRUE,FALSE,NA,NA
"RT @Naveen_MRA: Dowry harassment: Flipkart co-founder Sachin Bansal's wife files case against him

The Man with Business tycoon spoon is no…",FALSE,0,NA,2020-03-08 01:54:37,FALSE,NA,"1236470343440592896",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Santosh26215429",51,TRUE,FALSE,NA,NA
"#Flipkart #FlipkartVideo #flipkartads #flipkartnews
#flipkartchor #FlipkartStories
#flipkartsupport… https://t.co/sJRpNJFmnD",FALSE,0,NA,2020-03-08 01:50:47,TRUE,NA,"1236469379899916288",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","sahil29nov",0,FALSE,FALSE,NA,NA
"NCLAT Sets Aside CCI Order Closing Case Under Competition Act Against Flipkart; Directs Re-Probe https://t.co/pGavj1nUZQ",FALSE,0,NA,2020-03-08 01:49:07,FALSE,NA,"1236468963241934848",NA,"<a href=\"https://hocalwire.com\" rel=\"nofollow\">Hocalwire Social Share</a>","imsukriti",0,FALSE,FALSE,NA,NA
"40% Off : Dove Cream Beauty Bathing Bar (8 x 100 g) -- Flipkart -- Rs. 288.0 https://t.co/ZZZp2z4shU",FALSE,0,NA,2020-03-08 01:48:32,FALSE,NA,"1236468814407036928",NA,"<a href=\"https://dlvrit.com/\" rel=\"nofollow\">dlvr.it</a>","OnlineDealsIN",0,FALSE,FALSE,NA,NA
"NCLAT Sets Aside CCI Order Closing Case Under Competition Act Against Flipkart; Directs Re-Probe https://t.co/tMtsEjrgz1",FALSE,0,NA,2020-03-08 01:48:28,FALSE,NA,"1236468795620782081",NA,"<a href=\"https://hocalwire.com\" rel=\"nofollow\">Hocalwire Social Share</a>","nationalizer",0,FALSE,FALSE,NA,NA
"NCLAT Sets Aside CCI Order Closing Case Under Competition Act Against Flipkart; Directs Re-Probe https://t.co/wS8XouYh94",FALSE,2,NA,2020-03-08 01:48:28,FALSE,NA,"1236468795578826752",NA,"<a href=\"https://hocalwire.com\" rel=\"nofollow\">Hocalwire Social Share</a>","LiveLawIndia",1,FALSE,FALSE,NA,NA
"NCLAT Sets Aside CCI Order Closing Case Under Competition Act Against Flipkart; Directs Re-Probe https://t.co/vs0J4JufUe",FALSE,1,NA,2020-03-08 01:48:27,FALSE,NA,"1236468795545247744",NA,"<a href=\"https://hocalwire.com\" rel=\"nofollow\">Hocalwire Social Share</a>","answeringlaw",0,FALSE,FALSE,NA,NA
"NCLAT Sets Aside CCI Order Closing Case Under Competition Act Against Flipkart; Directs Re-Probe https://t.co/7AbeDwhzf5",FALSE,0,NA,2020-03-08 01:48:27,FALSE,NA,"1236468795541032961",NA,"<a href=\"https://hocalwire.com\" rel=\"nofollow\">Hocalwire Social Share</a>","_Akshita_Saxena",0,FALSE,FALSE,NA,NA
