"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Pay real close attention to this and put all of this together people and you will see what exactly we are dealing w… https://t.co/ett3NVAjUQ",FALSE,0,NA,2020-02-26 16:59:52,TRUE,NA,"1232711893199908864",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","721olebean",0,FALSE,FALSE,NA,NA
"2","Amazon search: ""Hoe Bag”",FALSE,0,NA,2020-02-26 16:59:52,FALSE,NA,"1232711892709212160",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Robotfoxxx",0,FALSE,FALSE,NA,NA
"3","RT @JonErlichman: Decline in valuations in past 2 days:

Apple:       -$110 billion 
Microsoft: -$80 billion
Google:     -$66 billion
Amazo…",FALSE,0,NA,2020-02-26 16:59:51,FALSE,NA,"1232711890046013440",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","yianniak",564,TRUE,FALSE,NA,NA
"4","RT @pezoutlaw: In my mind I will always be under contract with David Klawans n Jeff Maysh concerning the Pez Outlaw Movie and Book. I trust…",FALSE,0,NA,2020-02-26 16:59:51,FALSE,NA,"1232711889437777920",NA,"<a href=""http://ctrlq.org/"" rel=""nofollow"">Mice Town </a>","miceears",1,TRUE,FALSE,NA,NA
"5","RT @tvadtunes1: Great #giveaway just RT &amp;<U+2764><U+FE0F>TV Ad Tunes/Tunebubble artists for a chance to #win a £15.00 Amazon Gift card! #Competition ends…",FALSE,0,NA,2020-02-26 16:59:51,FALSE,NA,"1232711889316130816",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","DisneyMadMummy",810,TRUE,FALSE,NA,NA
"6","@YTswaus 3 ways... 

Down size for a snug fit. 

Walk Flat footed / slow 

Buy some shoe trees / sneaker inserts (s… https://t.co/1QTUOdwe5P",FALSE,0,"YTswaus",2020-02-26 16:59:50,TRUE,"1232706481088233476","1232711883796299776","1073984814167003136","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","saki209",0,FALSE,FALSE,NA,NA
"7","RT @juliacarriew: “Bernie has paid attention to us.” 

“I feel like we’re finally being seen.”

@SamTLevin reports on how the Sanders campa…",FALSE,0,NA,2020-02-26 16:59:50,FALSE,NA,"1232711882735325184",NA,"<a href=""https://play.google.com/store/apps/details?id=com.arthurivanets.owly"" rel=""nofollow""><U+041E>wly</a>","aiammaia",16,TRUE,FALSE,NA,NA
"8","Deal Alert!

Lationay Ultra Soft Flannel Blanket.
USE COUPON Code at Checkout: JBT8HYLQ

Price: $4.3 - 80.0% OFF!
R… https://t.co/nWGpfUVJtq",FALSE,0,NA,2020-02-26 16:59:50,TRUE,NA,"1232711882026385409",NA,"<a href=""https://rotodeals.com"" rel=""nofollow"">Roto Deals</a>","Roto_Deals",0,FALSE,FALSE,NA,NA
"9","RT @Suzy_Henderson: A gripping read set in WW2 France.
Madame Fiocca: Based on true events.
https://t.co/BDzxm0s9jA #HistoricalFiction #Wed…",FALSE,0,NA,2020-02-26 16:59:48,FALSE,NA,"1232711877676994564",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Therealroland02",40,TRUE,FALSE,NA,NA
"10","RT @TheGoldenUnion: <U+C2DC><U+CC28> - My Time is now Amazon’s #1 Best Selling song in the US.

Congratulations #Jungkook!<U+2728>

@BTS_twt #<U+BC29><U+D0C4><U+C18C><U+B144><U+B2E8><U+C815><U+AD6D> #<U+C815><U+AD6D> https:…",FALSE,0,NA,2020-02-26 16:59:48,FALSE,NA,"1232711877542600704",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","btsmyscenery7",901,TRUE,FALSE,NA,NA
"11","RT @streaminNstuff: Anyone looking for Apple Air Pods? Available on 
@amazon !

https://t.co/EQJTjdx47p

@FMC_RTs
 
@LaZy_RTs
 
@SmallStrea…",FALSE,0,NA,2020-02-26 16:59:47,FALSE,NA,"1232711869728788486",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","FgKdot",2,TRUE,FALSE,NA,NA
"12","RT @NicolaYeager: Summer Loving by Nicola Yeager.
'A light, fun, easy read. Loved the Aussie surfer girl Janica!'
https://t.co/RN0yiKLic4
#…",FALSE,0,NA,2020-02-26 16:59:46,FALSE,NA,"1232711865467310080",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Callie_Carmen",10,TRUE,FALSE,NA,NA
"13","RT @UnicentKompally: Great going! So here is the third question of the contest, be the first to answer and get a chance to win amazon vouch…",FALSE,0,NA,2020-02-26 16:59:44,FALSE,NA,"1232711859905736704",NA,"<a href=""https://twitter.com"" rel=""nofollow"">CompGiveaways</a>","pbruckshaw",165,TRUE,FALSE,NA,NA
"14","[Pet Grooming Brush Effectively Reduces Shedding By Up To 95% Professional Deshedding Tool For Dogs And Cats (Blue)… https://t.co/vHEW3eaUPM",FALSE,0,NA,2020-02-26 16:59:42,TRUE,NA,"1232711848513953792",NA,"<a href=""http://www.tobem.com/petsazon"" rel=""nofollow"">PETsazonTO</a>","petsazon",0,FALSE,FALSE,NA,NA
"15","RT @CinemaShoreLine: Paranormal Encounters Thornbury Farm (The Battle of Brandywine) episode streaming soon on Amazon Prime Video. #ShoreLi…",FALSE,0,NA,2020-02-26 16:59:41,FALSE,NA,"1232711846563434496",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PaulFalk6",19,TRUE,FALSE,NA,NA
"16","Murder has already checked in!
<U+2605>MURDER CHECKS IN<U+2605>
<U+2714>https://t.co/Bu2KuPRg63

@sylviaselfman https://t.co/cg8bSy7l9m… https://t.co/0Owllrzm8t",FALSE,0,NA,2020-02-26 16:59:41,TRUE,NA,"1232711846362259456",NA,"<a href=""https://twittimer.com"" rel=""nofollow"">Twittimer</a>","Pizzazz_Books",0,FALSE,FALSE,NA,NA
"17","https://t.co/jIGyebzm5T 
SO many companies are #Organic for feminine products! And the cost is not that outlandish… https://t.co/QB9KnBLt2T",FALSE,0,"TenaciousD47",2020-02-26 16:59:40,TRUE,"1232708705961041920","1232711843984093184","1160919445860016128","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TenaciousD47",0,FALSE,FALSE,NA,NA
"18","RT @flyingronaldo: Book review 
Not strictly a holiday story, this fun book could be enjoyed by your child all winter or all year. But it d…",FALSE,0,NA,2020-02-26 16:59:40,FALSE,NA,"1232711842826457088",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","evanasher555",2,TRUE,FALSE,NA,NA
"19","RT @karenyhan: every other action scene can kiss my ass, the train chase in WALLACE AND GROMIT IN THE WRONG TROUSERS is the best action sce…",FALSE,0,NA,2020-02-26 16:59:39,FALSE,NA,"1232711837583540226",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Rider_Nexus",157,TRUE,FALSE,NA,NA
"20","RT @papriddey: The Final Destiny - Part three of the Vesta Mansion trilogy
https://t.co/wjcZaiRl7J
https://t.co/InZnmKNDQK
#Fantasy
#bookbo…",FALSE,0,NA,2020-02-26 16:59:39,FALSE,NA,"1232711836568412160",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","IreneWoodbury",56,TRUE,FALSE,NA,NA
"21","RT @JiminGlobal: Jimin now holds three chart records for a Korean solo song on three platforms.

FILTER
<U+25AB><U+FE0F>#33 on Spotify Global, highest-ch…",FALSE,0,NA,2020-02-26 16:59:38,FALSE,NA,"1232711832613216256",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NPHT1610",1375,TRUE,FALSE,NA,NA
"22","To commemorate this day of my birth in line with 'Ash Wednesday' that signals the beginning of the 2020 'Lent' peri… https://t.co/oHDnvB28EO",FALSE,0,NA,2020-02-26 16:59:36,TRUE,NA,"1232711827445993472",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Akinya_OD",0,FALSE,FALSE,NA,NA
"23","RT @shadow_twts: Current Places to Buy:

iTunes
https://t.co/Ljk77fdJjr

Google Play Music
https://t.co/Wv48f0XezO

Amazon Prime
https://t.…",FALSE,0,NA,2020-02-26 16:59:34,FALSE,NA,"1232711817773797376",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ZephyrineAmary1",97,TRUE,FALSE,NA,NA
"24","RT @MIP_PoliMi: There is no success without planning. That's the most relevant advice Giacomo Grignano, EMBA Graduate and now Amazon Pathwa…",FALSE,0,NA,2020-02-26 16:59:33,FALSE,NA,"1232711813088841729",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","PLATOON_EU",1,TRUE,FALSE,NA,NA
"25","Illicit sex while everyone else is asleep? Yes please!

Even more hot sex while everyone else is out shopping? Plea… https://t.co/WlkJbuVJ29",FALSE,0,NA,2020-02-26 16:59:33,TRUE,NA,"1232711811927023617",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","p_mitchellstein",0,FALSE,FALSE,NA,NA
"26","RT@Amazng99  TRAGEDY IN SOUTH LEBANON - History of Israeli-Hezbollah War of 2006 <U+27A1>https://t.co/KTWRDaZehd #history #amreading
^:",FALSE,0,NA,2020-02-26 16:59:32,FALSE,NA,"1232711806935871489",NA,"<a href=""https://www.socialjukebox.com"" rel=""nofollow"">The Social Jukebox</a>","Blogs4Books",0,FALSE,FALSE,NA,NA
"27","RT @charliebilello: 2020 Returns...
Ethereum Trust $ETHE: +359%
Virgin Galactic $SPCE: +223%
Tesla $TSLA: +119%
Enphase $ENPH: +119%
Beyond…",FALSE,0,NA,2020-02-26 16:59:32,FALSE,NA,"1232711806587752450",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Natacus55",292,TRUE,FALSE,NA,NA
"28","RT @KaceyKells: ""You'll love ""Kellcey"". A book for the modern age"" Val Collins 
""I admire @KaceyKells for being a lovely human, a talented…",FALSE,0,NA,2020-02-26 16:59:31,FALSE,NA,"1232711805249650688",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KaceyKells",622,TRUE,FALSE,NA,NA
"29","RT @karenyhan: every other action scene can kiss my ass, the train chase in WALLACE AND GROMIT IN THE WRONG TROUSERS is the best action sce…",FALSE,0,NA,2020-02-26 16:59:31,FALSE,NA,"1232711803433619456",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","pete_fffs",157,TRUE,FALSE,NA,NA
"30","RT @Kings_Germans: 5*Amazon""This book, as well as the preceding one (The Black Lions of Flanders), rank amongst the most enjoyable I ever r…",FALSE,0,NA,2020-02-26 16:59:30,FALSE,NA,"1232711802166837248",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CAASBREY",26,TRUE,FALSE,NA,NA
"31","RT @KarenHuleneBart: WILD ROSE PASS ~ Gingham ribbon around rough wood ~ Can two people of different worlds, drawn together by conflicting…",FALSE,0,NA,2020-02-26 16:59:30,FALSE,NA,"1232711801957224455",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TGrahamWriter",22,TRUE,FALSE,NA,NA
"32","RT@AmazngBooks Be prepared for a WILD RIDE… https://t.co/IfitkHdQo6 <U+27A1>https://t.co/tZTR0m2sU8 #humor #kindle
^'",FALSE,0,NA,2020-02-26 16:59:29,FALSE,NA,"1232711797230260224",NA,"<a href=""https://www.socialjukebox.com"" rel=""nofollow"">The Social Jukebox</a>","ReaderFaves",0,FALSE,FALSE,NA,NA
"33","RT@ReadersFaves  FIX THE ROADS  A retired accountant wants to be the next Lenny Bruce.  <U+27A1>https://t.co/UTrXkq53gj  #ebooks #amreading
^;",FALSE,0,NA,2020-02-26 16:59:29,FALSE,NA,"1232711795686739968",NA,"<a href=""https://www.socialjukebox.com"" rel=""nofollow"">The Social Jukebox</a>","Author_Scope",0,FALSE,FALSE,NA,NA
