"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @SandipGhose: If #Congress really believes #BJP is the root of all evil and Congress has all the right answers - it should focus on reso…",FALSE,0,NA,2020-03-07 18:44:42,FALSE,NA,"1236362152224501761",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Kesari20191",2,TRUE,FALSE,NA,NA
"2","RT @niiravmodi: I am a Hindu, Last year Govt shut PMC Bank 10 days before Diwali where my account was, I lost all my savings, I couldn't ce…",FALSE,0,NA,2020-03-07 18:44:36,FALSE,NA,"1236362128241479680",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","imabu05",1889,TRUE,FALSE,NA,NA
"3","RT @BiIndia: #YesBank mobile and net banking down after RBI limits withdrawals to <U+20B9>50,000 

https://t.co/yqo8goKjZ3

By @pabsgill https://t…",FALSE,0,NA,2020-03-07 18:44:32,FALSE,NA,"1236362111225380867",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MirkarAmmar",27,TRUE,FALSE,NA,NA
"4","@YESBANK Able to withdraw the mentioned limit amount from Bangalore kormangla branch without much hassle. Very well… https://t.co/zn7gYCzLf7",FALSE,0,"YESBANK",2020-03-07 18:44:32,TRUE,NA,"1236362109291659264","41994925","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","imhozaifa",0,FALSE,FALSE,NA,NA
"5","RT @Sanju_Verma_: #YesBank,4th largest private sector lender,has deposits in excess of 2 lakh Cr

As on Sep2019,deposits of retail &amp;small b…",FALSE,0,NA,2020-03-07 18:44:30,FALSE,NA,"1236362104921186304",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SatishTg1",572,TRUE,FALSE,NA,NA
"6","RT @pbhushan1: Anil Ambani (of Rafale fame) &amp; Subhash Chandra (of Sudhir Chowdhury fame) were among the biggest dubious groups to whom larg…",FALSE,0,NA,2020-03-07 18:44:25,FALSE,NA,"1236362082641043457",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","shirin231",1750,TRUE,FALSE,NA,NA
"7","@shohinii @ANI @Payal_Rohatgi do you know why? 

Modi did not extend Raghuram Rajan’s term bcs he repeatedly warned… https://t.co/4wcjBYN3DE",FALSE,0,"shohinii",2020-03-07 18:44:15,TRUE,"1236216857431965697","1236362041750769664","76375925","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","illuminantsj",0,FALSE,FALSE,NA,NA
"8","RT @ABHIJIT_LS: People who's savings are stuck in #PMCBank &amp; #YesBank need not worry . 
You all are contributing to India's growth to becom…",FALSE,0,NA,2020-03-07 18:44:12,FALSE,NA,"1236362026676518918",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","raviraj619",1624,TRUE,FALSE,NA,NA
"9","RT @elia_official: *People visit YesBank ATM*

–Choose English
–Pin number
–Withdrawal
–Savings account
–Enter 2000<U+20B9>
–Continue

ATM: Aayega…",FALSE,0,NA,2020-03-07 18:44:09,FALSE,NA,"1236362014416449536",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BengaliConnect",16,TRUE,FALSE,NA,NA
"10","RT @TheDeshBhakt: Is #YesBank just a teaser of things to come?
Have long ignored #NPAs finally come home to roost?
Will the situation turn…",FALSE,0,NA,2020-03-07 18:44:04,FALSE,NA,"1236361994850070528",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sachin007chiku",558,TRUE,FALSE,NA,NA
"11","@YESBANK @chaitu4u Online remittance like neft and imps ?
Any news about Fund transfers",FALSE,0,"YESBANK",2020-03-07 18:44:02,FALSE,"1236353397701390338","1236361984733405184","41994925","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","R_B4U",0,FALSE,FALSE,NA,NA
"12","RT @safiranand: Can you believe this ad? #yesbank #ad https://t.co/mJuo8RZKs2",FALSE,0,NA,2020-03-07 18:44:00,FALSE,NA,"1236361977410117632",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","iSanketWalke",76,TRUE,FALSE,NA,NA
"13","RT @sanjeev_goyal: Adani Closed his accounts with YES bank last month.
Gujrat Govt bodies took out thier money from #YesBank just 2 days ag…",FALSE,0,NA,2020-03-07 18:43:58,FALSE,NA,"1236361967302033408",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Love_peace_fait",1328,TRUE,FALSE,NA,NA
"14","@YESBANK @RBI @FinMinIndia @YESBANK I am not able to pay my credit card bill, it's last day of payment is tomorrow.",FALSE,0,"YESBANK",2020-03-07 18:43:56,FALSE,"1236349470402441216","1236361960574222336","41994925","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Satyamanand5A",0,FALSE,FALSE,NA,NA
"15","RT @KiranKS: Now @go4avinash rubbishes Chidambaram's half truths on #YesBank 

Two days back he had countered Manmohan Singh very effective…",FALSE,0,NA,2020-03-07 18:43:52,FALSE,NA,"1236361942924537856",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nvasudevaNaray2",56,TRUE,FALSE,NA,NA
"16","RT @Sanju_Verma_: #SBI to pick 49% stake in #YesBank for just Rs 2450 Cr

48 hours back,49% stake would have cost Rs11760 Cr---Great for SB…",FALSE,0,NA,2020-03-07 18:43:49,FALSE,NA,"1236361931696427008",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","OPERATORMONO",309,TRUE,FALSE,NA,NA
"17","See that @YESBANK is sponsoring this event. https://t.co/EARhMITnfE",FALSE,0,NA,2020-03-07 18:43:43,FALSE,NA,"1236361904089468928",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","tellsachin",0,FALSE,FALSE,NA,NA
"18","@YESBANK @RBI @FinMinIndia I have been a customer of Yes bank since many years now, the account is my first salary… https://t.co/YCHPi5CGp2",FALSE,0,"YESBANK",2020-03-07 18:43:38,TRUE,"1236349470402441216","1236361886238535680","41994925","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","devbhoomiputra",0,FALSE,FALSE,NA,NA
"19","RT @pbhushan1: Anil Ambani (of Rafale fame) &amp; Subhash Chandra (of Sudhir Chowdhury fame) were among the biggest dubious groups to whom larg…",FALSE,0,NA,2020-03-07 18:43:19,FALSE,NA,"1236361805695537152",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","arbasar",1750,TRUE,FALSE,NA,NA
"20","@YESBANK @RBI @FinMinIndia When will UPI transactions start working @YESBANK @FinMinIndia",FALSE,0,"YESBANK",2020-03-07 18:43:16,FALSE,"1236349470402441216","1236361794257477632","41994925","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","absipat",0,FALSE,FALSE,NA,NA
"21","#Yes_Bank 
#yesbankcrisis 
@RahulGandhi please withdraw, no need to be in que for 2000<U+20B9> https://t.co/u8bHR2RFeY",FALSE,0,NA,2020-03-07 18:43:14,FALSE,NA,"1236361784224886784",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Sandeepnirvan_",0,FALSE,FALSE,NA,NA
"22","RT @Sanju_Verma_: .@narendramodi does what he does

What an outstanding move,wasting no time&amp;restoring faith in India's financial system--o…",FALSE,0,NA,2020-03-07 18:43:05,FALSE,NA,"1236361744395591681",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Bhunju",110,TRUE,FALSE,NA,NA
"23","RT @BBTheorist: At a time when everyone is talking about #YesBank crisis, sharing ""White Paper on #NPA Scam &amp; Banking Crisis by Congress Go…",FALSE,0,NA,2020-03-07 18:42:57,FALSE,NA,"1236361712271364097",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BeingPolitical1",50,TRUE,FALSE,NA,NA
"24","RT @kamaalrkhan: First #PMC bank closed and now #YesBank is going to close. Millions of people have lost their lifetime earnings and nobody…",FALSE,0,NA,2020-03-07 18:42:31,FALSE,NA,"1236361603966062592",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Waheed50099374",203,TRUE,FALSE,NA,NA
"25","Customers right now https://t.co/vbvdY2N5bS https://t.co/wwfvWeNYdN",FALSE,1,NA,2020-03-07 18:42:27,FALSE,NA,"1236361587629281280",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Marja_Ghalib",0,FALSE,FALSE,NA,NA
